,name
58899,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1754 ## No. 031, 1754"
58900,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1754 ## Beytrag 030, 1754"
58901,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1754 ## No. 030, 1754"
58902,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1754 ## Beytrag 029, 1754"
58903,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1754 ## No. 029, 1754"
58904,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1754 ## Beytrag 028, 1754"
58905,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1754 ## No. 028, 1754"
58906,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1754 ## Beytrag 027, 1754"
58907,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1754 ## No. 027, 1754"
58908,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1754 ## Beytrag 026, 1754"
